"filename", "language", "JSON", "TypeScript", "JSON with Comments", "JavaScript", "YAML", "Ignore", "PostCSS", "XML", "HTML", "Markdown", "Svelte", "comment", "blank", "total"
"/home/venice/Projects/capstone/cmu-kiosk-app/src/lib/components/svg-path-pencil/SVGPathPencil.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 122, 0, 16, 138
"/home/venice/Projects/capstone/cmu-kiosk-app/src/lib/components/svg-path-pencil/index.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/home/venice/Projects/capstone/cmu-kiosk-app/src/lib/components/theme-switcher/ThemeSwitcher.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 5, 32
"/home/venice/Projects/capstone/cmu-kiosk-app/src/lib/helpers/context.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 24
"/home/venice/Projects/capstone/cmu-kiosk-app/src/lib/images/github.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 16
"/home/venice/Projects/capstone/cmu-kiosk-app/src/lib/images/svelte-logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/home/venice/Projects/capstone/cmu-kiosk-app/src/lib/layouts/header/Header.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 3, 15
"/home/venice/Projects/capstone/cmu-kiosk-app/src/lib/layouts/page-layout/PageLayout.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 5, 9, 76
"/home/venice/Projects/capstone/cmu-kiosk-app/src/lib/layouts/sidebar/Sidebar.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 3, 39
"/home/venice/Projects/capstone/cmu-kiosk-app/src/lib/layouts/sidebar/SidebarItem.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 4, 28
"/home/venice/Projects/capstone/cmu-kiosk-app/src/lib/layouts/sidebar/SidebarNavigation.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 3, 12
"/home/venice/Projects/capstone/cmu-kiosk-app/src/lib/utils/supabase-client.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"/home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(admin)/admin/+page.server.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(admin)/admin/+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 3, 8
"/home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/+layout.server.ts", "TypeScript", 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17, 82
"/home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/+layout.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 105, 2, 10, 117
"/home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/+layout.ts", "TypeScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 28
"/home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 6, 34
"/home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/+page.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 4
"/home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/additional-services/+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 5, 42
"/home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/additional-services/hemmingway-app/+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 3, 17
"/home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/latest-news/+page.server.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 3, 11
"/home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/latest-news/+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 0, 4, 67
"/home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/profile/+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 7, 30
"/home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/registrars-office/+page.server.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/home/venice/Projects/capstone/cmu-kiosk-app/src/routes/(main)/registrars-office/+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 111, 0, 6, 117
